from,to,count,kind,type,status,reason
matthiashelferich,benediktkaiser,5,live,link,,
moellerth,christopherdroesslerafd,5,live,link,,
niusde,kissler_kompakt,5,live,link,,
reconquista21,r21_kontakt,5,live,link,,
reinweiblich,castellaurora,5,live,link,,
reinweiblich,compactmagazin,5,live,link,,
reinweiblich,voxeuropaherald,5,live,link,,
robertteske,moellerth,5,live,link,,
soldaten_und_reservisten,biker_treff,5,live,link,,
soldaten_und_reservisten,patrioten_nuernberg,5,live,link,,
thorstenweissafd,kristin_brinker,5,live,link,,
waldgangalbdruck,initiativefreiundselbstbestimmt,5,live,link,,
waldgangalbdruck,martinschwab,5,live,link,,
wilhelmkachel,tannwaldmedia,5,live,link,,
afd_thl,rimuehl,4,live,link,,
afdjugendbw,info_direkt,4,live,link,,
afdjugendbw,joernhoeckeafd,4,live,link,,
afdschleswigholstein,afd_neumuenster,4,live,link,,
alex_malenki,freiesachsen,4,live,link,,
alex_malenki,zentrumautomobil,4,live,link,,
alexsellberlin,alexanderjungbluthafd,4,live,link,,
aufdiestrasse,compactmagazin,4,live,link,,
aufdiestrasse,grenzsteiniggoerlitz,4,live,link,,
aufdiestrasse,martinsellnerib,4,live,link,,
aufdiestrasse,widerstandinbewegung,4,live,link,,
benediktkaiser,ertteske,4,live,link,,
castellaurora,benediktkaiser,4,live,link,,
castellaurora,club451,4,live,link,,
christian_zaum_afd,franosch,4,live,link,,
christian_zaum_afd,zachariasschalley,4,live,link,,
christopherdroesslerafd,freiesth,4,live,link,,
club451,svjatoslavhrabri,4,live,link,,
dereckart,akademiewien,4,live,link,,
dereckart,demanega_dmn,4,live,link,,
dominikkaufner,afd_havelland,4,live,link,,
dominikkaufner,fabianjankafd,4,live,link,,
ein_prozent,einprozentvideos,4,live,link,,
ein_prozent,info_direkt,4,live,link,,
ein_prozent,zachariasschalley,4,live,link,,
fabianjankafd,jeanpascal_hohm,4,live,link,,
fabianjankafd,jungeuropa,4,live,link,,
generation_thueringen,joernhoeckeafd,4,live,link,,
generation_thueringen,obertteske,4,live,link,,
generationdeutschland,jungeuropa,4,live,link,,
hcberndt,horizont_telegram,4,live,link,,
hcberndt,larshuenich,4,live,link,,
hydracomicsdd,jungeuropa,4,live,link,,
hydracomicsdd,zentrum_chemnitz,4,live,link,,
ibsachsen,martinsellnerib,4,live,link,,
identitaereoesterreich,reconquista21,4,live,link,,
ja_sachsen,benediktkaiser,4,live,link,,
ja_sachsen,heimatkurier,4,live,link,,
jadeutschland,lukreta,4,live,link,,
jadeutschland,tagesstimme,4,live,link,,
jadresden,afddresden,4,live,link,,
jadresden,bjoernhoeckeafd,4,live,link,,
jadresden,ibsachsen,4,live,link,,
jadresden,ja_oberlausitz,4,live,link,,
jungealternativeschwaben,wolfgangdroese,4,live,link,,
jungealternativesh,compactmagazin,4,live,link,,
jungealternativesh,ein_prozent,4,live,link,,
jungealternativesh,jeanpascal_hohm,4,live,link,,
jungealternativesh,kerstinprzygoddamdb,4,live,link,,
jungetat,action_radar_europe,4,live,link,,
jungeuropa,christopherdroesslerafd,4,live,link,,
jungeuropa,ein_prozent,4,live,link,,
klartextbaum,dekurier,4,live,link,,
kvltgames,theaureuspress,4,live,link,,
lukreta,freilichmagazin,4,live,link,,
martinctkohler,alexander_bertram,4,live,link,,
marvintneumann,info_direkt,4,live,link,,
marvintneumann,institutiliade,4,live,link,,
marvintneumann,klemenskilictelegram,4,live,link,,
marvintneumann,middle_east_spectator,4,live,link,,
marykhanafd,niusde,4,live,link,,
matthiashelferich,jungeuropa,4,live,link,,
moellerth,robertteske,4,live,link,,
prototelegram,carolinbachmann,4,live,link,,
prototelegram,ndsoffiziell,4,live,link,,
prototelegram,sub_version_production,4,live,link,,
reconquista21,aktion451,4,live,link,,
reconquista21,generationidentitaer,4,live,link,,
reconquista21,martinsellnerib,4,live,link,,
reconquista21,sicheregrenzen,4,live,link,,
robertteske,joernhoeckeafd,4,live,link,,
robertteske,rtteske,4,live,link,,
thorstenweissafd,dekurier,4,live,link,,
thorstenweissafd,martinctkohler,4,live,link,,
thymosmagazin,jungeuropa,4,live,link,,
tomaszfroelich,afdschleswigholstein,4,live,link,,
tomaszfroelich,heimatkurier,4,live,link,,
tomaszfroelich,info_direkt,4,live,link,,
tomaszfroelich,marykhanafd,4,live,link,,
unitedworldinternational,geopolitika_es,4,live,link,,
vorstadtaktivist,visionremigrationch,4,live,link,,
waldgangalbdruck,epochtimesde,4,live,link,,
waldgangalbdruck,satellit_de,4,live,link,,
waldgangalbdruck,stefanmagnet,4,live,link,,
wolfpmsoffiziell,danielhaseloffafd,4,live,link,,
wolfpmsoffiziell,ibsachsen,4,live,link,,
wolfpmsoffiziell,identitaereoesterreich,4,live,link,,
wolfpmsoffiziell,juergenpohlafd,4,live,link,,
zentrum_chemnitz,heimatkurier,4,live,link,,
zentrum_chemnitz,ibsachsen,4,live,link,,
zurlage,zachariasschalley,4,live,link,,
afd_duesseldorf,afd_koeln,3,live,link,,
afdjugendbw,generationdeutschland,3,live,link,,
afdjugendbw,matthiashelferich,3,live,link,,
afdthueringen,robertteske,3,live,link,,
aktion451,info_direkt,3,live,link,,
aktivistmanuel,lukreta,3,live,link,,
aktivistmanuel,nemesisparis,3,live,link,,
alex_malenki,grenzsteiniggoerlitz,3,live,link,,
alex_malenki,krautzone,3,live,link,,
alex_malenki,prototelegram,3,live,link,,
alex_malenki,solidaritaetde,3,live,link,,
alexsellberlin,teamaust,3,live,link,,
aufdiestrasse,lederhosenrevolte,3,live,link,,
aufdiestrasse,reconquista21,3,live,link,,
auroralorraine,assosla,3,live,link,,
benediktkaiser,bertteske,3,live,link,,
benediktkaiser,christopherdroesslerafd,3,live,link,,
castellaurora,info_direkt,3,live,link,,
castellaurora,kvltgames,3,live,link,,
castellaurora,martinsellnerib,3,live,link,,
castellaurora,reinweiblich,3,live,link,,
castellaurora,rtvooe,3,live,link,,
christian_zaum_afd,obertteske,3,live,link,,
christopherdroesslerafd,afdksw,3,live,link,,
christopherdroesslerafd,dekurier,3,live,link,,
christopherdroesslerafd,joernhoeckeafd,3,live,link,,
club451,casapoundufficiale,3,live,link,,
club451,legiohungaria,3,live,link,,
compact,antirussianfront,3,live,link,,
compact,cargo200retribution,3,live,link,,
compact,frank_thelenf,3,live,link,,
compact,funfunfunbyich,3,live,link,,
compact,isabellamaier16,3,live,link,,
compact,isabellamaierfx,3,live,link,,
compact,militarysummary,3,live,link,,
compact,politischsarkastischlustig,3,live,link,,
dominikkaufner,benediktkaiser,3,live,link,,
dominikkaufner,ein_prozent,3,live,link,,
dominikkaufner,matthiashelferich,3,live,link,,
dominikkaufner,obertteske,3,live,link,,
ein_prozent,robertteske,3,live,link,,
fabianjankafd,dominikkaufner,3,live,link,,
fabianjankafd,larsschieske,3,live,link,,
franzschmidafd,info_direkt,3,live,link,,
generation_thueringen,ein_prozent,3,live,link,,
generation_thueringen,marcus_buehl,3,live,link,,
generation_thueringen,oernhoeckeafd,3,live,link,,
generation_thueringen,reneaust,3,live,link,,
generationdeutschland,franzschmidafd,3,live,link,,
gfroemming,prignitzervolksvertreter,3,live,link,,
hcberndt,afd_brandenburg,3,live,link,,
hcberndt,larshunich_tv,3,live,link,,
hydracomicsdd,ein_prozent,3,live,link,,
ibsachsen,eimatkurier,3,live,link,,
ibsachsen,reconquista21,3,live,link,,
identitaeredeutschland,castellaurora,3,live,link,,
identitaeredeutschland,dentitaeredeutschland,3,live,link,,
identitaeredeutschland,ib_meckpomm,3,live,link,,
identitaeredeutschland,jungetat,3,live,link,,
identitaeredeutschland,ntitaeredeutschland,3,live,link,,
identitaereoesterreich,lederhosen_revolte,3,live,link,,
imbolcslicht,weltenkreisbifroest,3,live,link,,
irmhild_bossdorf,afdeu,3,live,link,,
irmhild_bossdorf,afdsaxlt,3,live,link,,
irmhild_bossdorf,marykhanafd,3,live,link,,
irmhild_bossdorf,obertteske,3,live,link,,
irmhild_bossdorf,robertteske,3,live,link,,
ja_sachsen,bjoernhoeckeafd,3,live,link,,
ja_sachsen,freilichmagazin,3,live,link,,
ja_sachsen,tagesstimme,3,live,link,,
jadeutschland,benjamin_d_nolte,3,live,link,,
jadeutschland,joernhoeckeafd,3,live,link,,
jadeutschland,krah_direkt,3,live,link,,
jadeutschland,tiktokguerilla,3,live,link,,
